epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1486.32,0.23615,0.39747,0.80987,0.96938,0.99948,0.995,0.99102,0.16415,0.19955,0.76516,0.00014653,0.00014653,0.00014653
78,1507.24,0.23138,0.37989,0.80756,0.96922,1,0.995,0.995,0.16162,0.2147,0.76491,0.000144589,0.000144589,0.000144589
79,1526.36,0.22811,0.37545,0.81762,0.96884,1,0.995,0.99404,0.16086,0.20878,0.76397,0.000142649,0.000142649,0.000142649
80,1546.53,0.23381,0.38764,0.82207,0.96855,0.99915,0.995,0.99401,0.15941,0.19992,0.76275,0.000140708,0.000140708,0.000140708
81,1565.44,0.23016,0.37998,0.8197,0.96971,1,0.995,0.99399,0.15395,0.18459,0.76365,0.000138768,0.000138768,0.000138768
82,1584.24,0.22763,0.36632,0.81351,0.97193,1,0.995,0.995,0.15923,0.1871,0.76467,0.000136828,0.000136828,0.000136828
83,1604.25,0.22336,0.37257,0.81043,0.97075,1,0.995,0.99401,0.16651,0.18733,0.76504,0.000134887,0.000134887,0.000134887
84,1623.31,0.22781,0.3666,0.79968,0.96321,1,0.995,0.99404,0.15667,0.18976,0.76492,0.000132947,0.000132947,0.000132947
85,1643.73,0.22345,0.36891,0.8167,0.96624,1,0.995,0.995,0.1585,0.18834,0.76291,0.000131006,0.000131006,0.000131006
86,1662.52,0.22501,0.37552,0.81842,0.96752,1,0.995,0.99365,0.16257,0.18607,0.76656,0.000129066,0.000129066,0.000129066
87,1682.19,0.2208,0.37286,0.80992,0.96674,1,0.995,0.995,0.15496,0.19019,0.76506,0.000127126,0.000127126,0.000127126
88,1702.09,0.22287,0.36797,0.81206,0.94863,1,0.995,0.995,0.15725,0.18143,0.76512,0.000125185,0.000125185,0.000125185
89,1720.8,0.22648,0.36222,0.81284,0.97146,1,0.995,0.995,0.14614,0.19127,0.76366,0.000123245,0.000123245,0.000123245
90,1740.94,0.22327,0.35879,0.81646,0.97456,1,0.995,0.99409,0.15331,0.19306,0.76285,0.000121304,0.000121304,0.000121304
91,1760.49,0.22005,0.35484,0.80952,0.97287,1,0.995,0.995,0.15047,0.1895,0.76147,0.000119364,0.000119364,0.000119364
92,1779.37,0.22459,0.34935,0.81514,0.96827,1,0.995,0.995,0.1397,0.17989,0.7601,0.000117424,0.000117424,0.000117424
93,1799.71,0.2144,0.34741,0.81282,0.96621,1,0.995,0.99404,0.14912,0.18769,0.76168,0.000115483,0.000115483,0.000115483
94,1818.13,0.21749,0.3546,0.8112,0.96996,1,0.995,0.995,0.1532,0.1866,0.76377,0.000113543,0.000113543,0.000113543
95,1837.93,0.21526,0.33958,0.80414,0.96622,1,0.995,0.99365,0.1481,0.18467,0.76225,0.000111602,0.000111602,0.000111602
96,1857.14,0.22343,0.33999,0.81538,0.96615,0.99914,0.995,0.995,0.1535,0.19234,0.76275,0.000109662,0.000109662,0.000109662
97,1875.89,0.21912,0.33293,0.81361,0.97066,1,0.995,0.99305,0.16655,0.18093,0.76186,0.000107722,0.000107722,0.000107722
98,1895.82,0.21846,0.33497,0.81321,0.96959,1,0.995,0.99308,0.16742,0.17585,0.76469,0.000105781,0.000105781,0.000105781
99,1914.62,0.21416,0.3196,0.81407,0.96946,1,0.995,0.99402,0.14354,0.1748,0.76129,0.000103841,0.000103841,0.000103841
100,1933.92,0.22523,0.33451,0.81518,0.96955,1,0.995,0.99406,0.15479,0.18815,0.76277,0.0001019,0.0001019,0.0001019
101,1953.08,0.21028,0.31624,0.80717,0.9739,1,0.995,0.995,0.14253,0.17536,0.76094,9.996e-05,9.996e-05,9.996e-05
102,1971.6,0.21073,0.32714,0.81127,0.97315,1,0.995,0.995,0.14789,0.17653,0.75949,9.80196e-05,9.80196e-05,9.80196e-05
103,1991.77,0.20449,0.31893,0.80564,0.96883,1,0.995,0.99401,0.14446,0.1754,0.75996,9.60792e-05,9.60792e-05,9.60792e-05
104,2010.55,0.20248,0.31439,0.80963,0.96517,1,0.995,0.99402,0.14753,0.17618,0.7618,9.41388e-05,9.41388e-05,9.41388e-05
105,2029.22,0.20295,0.31158,0.81434,0.97119,1,0.995,0.995,0.14104,0.17236,0.76179,9.21984e-05,9.21984e-05,9.21984e-05
106,2048.82,0.19694,0.3145,0.80567,0.97185,1,0.995,0.99372,0.15058,0.16697,0.76061,9.0258e-05,9.0258e-05,9.0258e-05
107,2067.56,0.20351,0.31051,0.80612,0.97422,1,0.995,0.995,0.14887,0.17061,0.75988,8.83176e-05,8.83176e-05,8.83176e-05
108,2087.65,0.20293,0.30647,0.80735,0.97299,1,0.995,0.99404,0.14559,0.16561,0.76109,8.63772e-05,8.63772e-05,8.63772e-05
109,2106.31,0.20115,0.31396,0.81255,0.96847,1,0.995,0.995,0.14766,0.16812,0.76196,8.44368e-05,8.44368e-05,8.44368e-05
110,2124.86,0.20776,0.3038,0.80818,0.96759,1,0.995,0.995,0.14885,0.17282,0.7613,8.24964e-05,8.24964e-05,8.24964e-05
111,2144.41,0.20857,0.31793,0.81297,0.97344,1,0.995,0.995,0.13837,0.17181,0.76013,8.0556e-05,8.0556e-05,8.0556e-05
112,2162.93,0.20446,0.30638,0.80937,0.97219,1,0.995,0.99404,0.15311,0.16982,0.76121,7.86156e-05,7.86156e-05,7.86156e-05
113,2182.82,0.20233,0.30845,0.80914,0.96921,1,0.995,0.99404,0.14239,0.17053,0.75992,7.66752e-05,7.66752e-05,7.66752e-05
114,2201.76,0.1986,0.30292,0.80113,0.97426,1,0.995,0.99409,0.14727,0.17523,0.75799,7.47348e-05,7.47348e-05,7.47348e-05
115,2220.48,0.20274,0.31135,0.80472,0.97301,1,0.995,0.99409,0.14039,0.17915,0.75932,7.27944e-05,7.27944e-05,7.27944e-05
116,2240.4,0.20585,0.29878,0.8021,0.9712,1,0.995,0.99409,0.14283,0.16864,0.75955,7.0854e-05,7.0854e-05,7.0854e-05
117,2259.05,0.18991,0.28961,0.80621,0.97172,1,0.995,0.995,0.13839,0.16412,0.75815,6.89136e-05,6.89136e-05,6.89136e-05
118,2279.15,0.19876,0.31338,0.81114,0.97089,1,0.995,0.99402,0.14108,0.16368,0.75901,6.69732e-05,6.69732e-05,6.69732e-05
