epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1194.33,0.26385,0.50781,0.82473,0.92501,1,0.995,0.98994,0.1898,0.24432,0.79724,0.000180294,0.000180294,0.000180294
58,1215.46,0.26766,0.51825,0.819,0.96539,1,0.995,0.99099,0.19411,0.25523,0.79918,0.000178407,0.000178407,0.000178407
59,1235.54,0.27131,0.49446,0.82091,0.96653,1,0.995,0.99148,0.16449,0.24158,0.79394,0.000176519,0.000176519,0.000176519
60,1256.49,0.27143,0.49076,0.82365,0.96509,1,0.995,0.99135,0.17471,0.22976,0.79544,0.000174632,0.000174632,0.000174632
61,1276.8,0.27324,0.47873,0.81906,0.96721,1,0.995,0.98917,0.17649,0.2404,0.79849,0.000172744,0.000172744,0.000172744
62,1297.17,0.26427,0.4957,0.82443,0.93133,1,0.995,0.98794,0.17082,0.24285,0.79816,0.000170856,0.000170856,0.000170856
63,1318.08,0.26141,0.47665,0.82038,0.95781,1,0.995,0.99251,0.16863,0.24707,0.79499,0.000168969,0.000168969,0.000168969
64,1338.76,0.25515,0.47115,0.81142,0.96995,1,0.995,0.99009,0.17738,0.23887,0.79815,0.000167081,0.000167081,0.000167081
65,1359.97,0.25569,0.46436,0.81897,0.97121,1,0.995,0.98905,0.16093,0.2307,0.79504,0.000165194,0.000165194,0.000165194
66,1382.38,0.25317,0.44961,0.81487,0.96839,0.99486,0.995,0.99329,0.17229,0.23564,0.79866,0.000163306,0.000163306,0.000163306
67,1403.31,0.26292,0.46026,0.81916,0.97132,0.99325,0.995,0.99023,0.1695,0.22446,0.79919,0.000161418,0.000161418,0.000161418
68,1425.85,0.25741,0.46225,0.81559,0.96401,1,0.995,0.98937,0.15834,0.21985,0.79673,0.000159531,0.000159531,0.000159531
69,1446.05,0.25665,0.45178,0.81848,0.96756,1,0.995,0.99211,0.1679,0.23791,0.80152,0.000157643,0.000157643,0.000157643
70,1467.9,0.25181,0.44506,0.81793,0.96716,1,0.995,0.99001,0.17493,0.23271,0.80044,0.000155756,0.000155756,0.000155756
71,1488.21,0.25967,0.46694,0.82402,0.96547,1,0.995,0.99084,0.16745,0.22224,0.7975,0.000153868,0.000153868,0.000153868
72,1509.98,0.24332,0.4356,0.81656,0.96867,1,0.995,0.9919,0.15473,0.23277,0.79819,0.00015198,0.00015198,0.00015198
73,1530.48,0.24675,0.4322,0.82019,0.96722,1,0.995,0.99011,0.15616,0.22425,0.79587,0.000150093,0.000150093,0.000150093
74,1552.14,0.24468,0.43112,0.81306,0.96277,1,0.995,0.98905,0.16261,0.22418,0.79647,0.000148205,0.000148205,0.000148205
75,1572.26,0.24022,0.43074,0.80892,0.96798,1,0.995,0.99096,0.16153,0.21796,0.79424,0.000146318,0.000146318,0.000146318
76,1593.73,0.25264,0.43616,0.81477,0.9678,1,0.995,0.98777,0.16582,0.21146,0.79487,0.00014443,0.00014443,0.00014443
77,1614.1,0.25337,0.42699,0.81743,0.97144,1,0.995,0.9898,0.15515,0.21894,0.79278,0.000142542,0.000142542,0.000142542
78,1636.01,0.2436,0.39518,0.8155,0.95613,1,0.995,0.98931,0.15601,0.22468,0.79667,0.000140655,0.000140655,0.000140655
